ID_DEPARTAMENTO,DEPARTAMENTO,ID_MUNICIPIO,MUNICIPIO,Latitud,Longitud,LOCALIDAD,Solar_radiation_promedio,Wind_promedio,consumo_energia_promedio,tipo_cultivo,Desecho_Ton_promedio,Solar_norm,Wind_norm,Desecho_norm,Indice_Solar,Indice_Eolico,Indice_Biomasa,Energia_Prioritaria
0,CAUCA,19809,TIMBIQUÍ,2.702,-77.495,CHACÓN (TIMBIQUÍ - CAUCA),15190.25,1.10833334922791,4366.0,BANANO,26.98142916815621,0.7725829589080341,0.2528517219877571,0.027753745140948173,3373.0971985924766,1103.9506181985475,121.17285128537972,Solar
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,6.456,-76.699,LA PLAYA MURRI  (VIGÍA DEL FUERTE - ANTIOQUIA),17067.9921875,0.7583333253860473,8547.38,PALMA DE ACEITE,223.7033000588417,0.8680857725737205,0.1730038054869852,0.23010657954136893,7419.858970781167,1478.7292669433475,1966.8083758403059,Solar
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,6.456,-76.699,LOMA MURRI (VIGÍA DEL FUERTE - ANTIOQUIA),17067.9921875,0.7583333253860473,9954.88,PALMA DE ACEITE,223.7033000588417,0.8680857725737205,0.1730038054869852,0.23010657954136893,8641.689695678679,1722.2321231662793,2290.6833865447825,Solar
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,6.456,-76.699,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),17067.9921875,0.7583333253860473,6290.07,PALMA DE ACEITE,223.7033000588417,0.8680857725737205,0.1730038054869852,0.23010657954136893,5460.3202754927825,1088.206046779521,1447.3864927757784,Solar
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,6.456,-76.699,VEGAEZ (VIGÍA DEL FUERTE - ANTIOQUIA),17067.9921875,0.7583333253860473,4986.33,PALMA DE ACEITE,223.7033000588417,0.8680857725737205,0.1730038054869852,0.23010657954136893,4328.56213035752,862.6540654139189,1147.3873407645142,Solar
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,6.456,-76.699,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),17067.9921875,0.7583333253860473,124249.57,PALMA DE ACEITE,223.7033000588417,0.8680857725737205,0.1730038054869852,0.23010657954136893,107859.28396540257,21495.648440121553,28590.643562185887,Solar
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.446,-75.467,ISLA FUERTE (CARTAGENA - BOLIVAR),19383.68359375,3.5833332538604727,79594.5,PALMA DE ACEITE,173.5878700017929,0.9858628808213485,0.8174904998805547,0.17855664626081866,78469.26306753483,65067.74759274281,14212.12698080673,Solar
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.446,-75.467,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),19383.68359375,3.583333253860473,53001.87,PALMA DE ACEITE,173.5878700017929,0.9858628808213485,0.8174904998805548,0.17855664626081866,52252.57624711861,43328.52520090418,9463.836152751897,Solar
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.446,-75.467,ISLA MUCURA (CARTAGENA - BOLIVAR),19383.68359375,3.583333253860473,9628.75,PALMA DE ACEITE,173.5878700017929,0.9858628808213485,0.8174904998805548,0.17855664626081866,9492.62721370856,7871.411650724892,1719.2773076838575,Solar
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.446,-75.467,ISLA MUCURA (CARTAGENA DE INDIAS - BOLÍVAR),19383.68359375,3.583333253860473,8811.04,PALMA DE ACEITE,173.5878700017929,0.9858628808213485,0.8174904998805548,0.17855664626081866,8686.477277432135,7202.941494067564,1573.2697524699238,Solar
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.446,-75.467,SANTA CRUZ DEL ISLOTE (CARTAGENA - BOLIVAR),19383.68359375,3.583333253860473,17683.5,PALMA DE ACEITE,173.5878700017929,0.9858628808213485,0.8174904998805548,0.17855664626081866,17433.506253004318,14456.09325463779,3157.506454153187,Solar
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.446,-75.467,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),19383.68359375,3.583333253860473,15682.42,PALMA DE ACEITE,173.5878700017929,0.9858628808213485,0.8174904998805548,0.17855664626081866,15460.715759450333,12820.229365136809,2800.2003204535877,Solar
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,0.649,-74.274,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),14565.908203125,0.8416666388511659,23111.93,PALMA DE ACEITE,799.8934338018298,0.7408286538242042,0.1920152083499229,0.8227895699407435,17121.97998917924,4437.842054318833,19016.254945200566,Biomasa
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,0.649,-74.274,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),14565.908203125,0.8416666388511659,5410.93,PALMA DE ACEITE,799.8934338018298,0.7408286538242042,0.1920152083499229,0.8227895699407435,4008.5719878370014,1038.9808513168482,4452.056767679467,Biomasa
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1.569,-74.264,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),15415.25,0.8833333253860473,15541.36,PALMA DE ACEITE,799.8934338018298,0.7840265602809086,0.20152091658040078,0.8227895699407435,12184.839022887301,3131.9091121059773,12787.268910694274,Biomasa
